time_s,measured_displacement_mm,predicted_displacement_mm,measured_force_N,predicted_force_N,displacement_error_mm,force_error_N
0.794,-7.5906,-7.6005173,-0.0013497993,-0.001306098,0.009917259,-4.370138e-05
0.796,-7.5429,-7.555008,-0.00093331,-0.0010083765,0.012107849,7.506646e-05
0.798,-7.4451,-7.4578485,-0.0004902892,-0.000717463,0.012748718,0.00022717379
0.8,-7.2998,-7.313205,1.9744039e-07,-0.00028306246,0.013404846,0.0002832599
0.802,-7.1101,-7.126465,0.0005577095,0.00042529777,0.016365051,0.00013241172
0.804,-6.8789997,-6.9018564,0.0012030005,0.0014383718,0.022856712,-0.00023537129
0.806,-6.6098995,-6.6405993,0.0019608997,0.002708612,0.03069973,-0.0007477123
0.808,-6.3063993,-6.342634,0.0028645005,0.0041942634,0.036234856,-0.0013297629
0.81,-5.9720993,-6.0089684,0.0039595,0.0058111064,0.03686905,-0.0018516062
0.812,-5.6107,-5.64278,0.0053103995,0.007400235,0.032079697,-0.0020898357
0.814,-5.2258,-5.250838,0.0073693004,0.009015409,0.025037766,-0.0016461089
0.816,-4.8211,-4.840344,0.0095942,0.011383887,0.019243717,-0.0017896872
0.818,-4.3991,-4.4148197,0.012426,0.014055586,0.01571989,-0.0016295863
0.82,-3.9632,-3.9773235,0.016501,0.017250696,0.01412344,-0.00074969605
0.822,-3.5158,-3.5322812,0.021135,0.02151655,0.016481161,-0.00038154982
0.824,-3.0588,-3.0811443,0.026945,0.026327033,0.02234435,0.0006179679
0.826,-2.5936,-2.623749,0.034629,0.032534197,0.030148983,0.0020948015
0.828,-2.121,-2.1598868,0.042007,0.040506445,0.038886786,0.0015005544
0.83,-1.6428,-1.6906031,0.047995,0.046845824,0.047803164,0.0011491776
0.832,-1.1622,-1.2192416,0.051192,0.050159846,0.057041645,0.001032155
0.834,-0.68426,-0.74924964,0.051323,0.050622065,0.06498963,0.0007009357
0.836,-0.21553004,-0.28448772,0.048625,0.049147263,0.06895769,-0.00052226335
0.838,0.23642004,0.16892505,0.045289,0.04568837,0.06749499,-0.00039936975
0.84,0.6642401,0.60320544,0.039492,0.041743435,0.06103468,-0.002251435
0.842,1.0592,1.0105965,0.033781,0.034881026,0.048603535,-0.0011000261
0.844,1.4197001,1.3806994,0.026774,0.027629174,0.03900075,-0.0008551739
0.846,1.7371001,1.7095017,0.020025,0.01919763,0.027598381,0.0008273702
0.848,2.0128999,1.9894288,0.013353,0.012082662,0.023471117,0.001270338
0.85,2.2397997,2.2246,0.0087607,0.0062826555,0.015199661,0.0024780445
0.852,2.4134,2.4065444,0.0037329998,0.002579175,0.006855488,0.0011538249
0.854,2.5388,2.5262687,-0.0005633198,-0.0024585929,0.0125312805,0.0018952731
0.856,2.6143,2.591325,-0.0044074003,-0.0067249928,0.022974968,0.0023175925
0.858,2.6368,2.6085718,-0.0080961995,-0.00967104,0.028228283,0.0015748404
